회계연도,회계구분코드,회계구분명,부서구분코드,부서구분명,관서코드,관서명,실국코드,실국명,부서코드,부서명,경비구분코드,경비구분명,세부사업코드,세부사업명,통계목코드,통계목명,지출개요,지출금액,지급명령일자,거래처명,사업자등록번호,계약대장관리번호
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,여비,20201,국내여비,국내여비 지출(평생교육사업 10.19-11.1),170700,20181127,***,,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,일반운영비,20101,사무관리비,복사용지 구입비 지급,537500,20181127,굿드림장애인작업장,1248213393,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,여비,20201,국내여비,국내여비 지출(미래교육 10.27-11.16),30000,20181127,***,,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,여비,20201,국내여비,국내여비 지출(미래교육 10.27-11.16),97000,20181127,***,,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,여비,20201,국내여비,국내여비 지출(미래교육 10.27-11.16),50000,20181127,***,,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,여비,20201,국내여비,국내여비 지출(미래교육 10.27-11.16),35000,20181127,***,,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,인건비,10103,무기계약근로자보수,국내여비 지출(18.10.25-11.15),30000,20181127,***,,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,교육정책사업(자체/직접),20303,시책추진업무추진비,찾아가는 경기 청소년 공부방 관련 간담회비 지출(교육협력),39000,20181127,방아다리,1270716539,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,교육정책사업(자체/직접),20303,시책추진업무추진비,체인지업캠퍼스 미래교육 사업 관련 간담회비 지출(교육협력),67000,20181127,대구왕뽈찜,8930700153,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,교육정책사업(자체/직접),20303,시책추진업무추진비,대학생 학자금 이자지원 관련 간담회비 지출(교육협력),88000,20181127,통영굴전문점,1350796174,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,교육정책사업(자체/직접),20303,시책추진업무추진비,평생교육사업 관련 간담회비 지출(교육협력),60000,20181127,가람,3750700766,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,여비,20201,국내여비,국내여비 지출(평생교육지원 10.13-10.24),80000,20181127,***,,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,여비,20201,국내여비,국내여비 지출(평생교육지원 10.13-10.24),50000,20181127,***,,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,여비,20201,국내여비,국내여비 지출(평생교육지원 10.13-10.24),30000,20181127,********,,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,여비,20201,국내여비,국내여비 지출(평생교육지원 10.13-10.24),10000,20181127,***,,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,여비,20201,국내여비,국내여비 지출(평생교육지원 10.13-10.24),80000,20181127,***,,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,여비,20201,국내여비,국내여비 지출(평생교육사업 10.19-11.1),63000,20181127,***,,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,여비,20201,국내여비,국내여비 지출(평생교육사업 10.19-11.1),113000,20181127,***,,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,여비,20201,국내여비,국내여비 지출(평생교육사업 10.19-11.1),50000,20181127,***,,
2018,100,일반회계,10,본청,1561,본청,1001,평생교육국,1035701,평생교육과,20,일상경비,6.41E+15,교육정책사업(자체/직접),20303,시책추진업무추진비,평생학습 어울림콘서트 관련 간담회비 지출(교육정책),69000,20181127,항아리보쌈,2140173924,
